code,coding_system,description,entity,list_name,upload_date
2BBj.00,Read,O/E - left eye no maculopathy,test,54 - Retinal_screening,2014-01-27
2BBJ.00,Read,O/E - no right diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBk.00,Read,O/E - right eye stable treated prolif diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBK.00,Read,O/E - no left diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBl.00,Read,O/E - left eye stable treated prolif diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBL.00,Read,O/E - diabetic maculopathy present both eyes,test,54 - Retinal_screening,2014-01-27
2BBm.00,Read,O/E - right eye clinically significant macular oedema,test,54 - Retinal_screening,2014-01-27
2BBM.00,Read,O/E - diabetic maculopathy absent both eyes,test,54 - Retinal_screening,2014-01-27
2BBn.00,Read,O/E - left eye clinically significant macular oedema,test,54 - Retinal_screening,2014-01-27
2BBN.00,Read,Myelinated retinal nerve fibres,test,54 - Retinal_screening,2014-01-27
2BBo.00,Read,O/E - sight threatening diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBO.00,Read,O/E - Laser photocoagulation scars,test,54 - Retinal_screening,2014-01-27
2BBP.00,Read,O/E - right eye background diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBQ.00,Read,O/E - left eye background diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBR.00,Read,O/E - right eye preproliferative diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBS.00,Read,O/E - left eye preproliferative diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBT.00,Read,O/E - right eye proliferative diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBV.00,Read,O/E - left eye proliferative diabetic retinopathy,test,54 - Retinal_screening,2014-01-27
2BBW.00,Read,O/E - right eye diabetic maculopathy,test,54 - Retinal_screening,2014-01-27
2BBX.00,Read,O/E - left eye diabetic maculopathy,test,54 - Retinal_screening,2014-01-27
2BBY.00,Read,O/E - referable retinopathy,test,54 - Retinal_screening,2014-01-27
2BBZ.00,Read,O/E - retinal inspection NOS,test,54 - Retinal_screening,2014-01-27
3128.00,Read,Fundoscopy,test,54 - Retinal_screening,2014-01-27
3128000,Read,Fundoscopy normal,test,54 - Retinal_screening,2014-01-27
3128100,Read,Fundoscopy abnormal,test,54 - Retinal_screening,2014-01-27
3128.11,Read,Retinoscopy,test,54 - Retinal_screening,2014-01-27
3128200,Read,Dilated fundoscopy normal,test,54 - Retinal_screening,2014-01-27
3128300,Read,Camera fundoscopy,test,54 - Retinal_screening,2014-01-27
3128400,Read,Indirect fundoscopy following mydriatic,test,54 - Retinal_screening,2014-01-27
3128Z00,Read,Fundoscopy NOS,test,54 - Retinal_screening,2014-01-27
3129.00,Read,Eye fundus photography,test,54 - Retinal_screening,2014-01-27
312E.00,Read,Direct fundoscopy following mydriatic,test,54 - Retinal_screening,2014-01-27
312G.00,Read,Indirect fundoscopy following mydriatic,test,54 - Retinal_screening,2014-01-27
58C1.00,Read,Retinal photography,test,54 - Retinal_screening,2014-01-27
66AD.00,Read,Fundoscopy - diabetic check,test,54 - Retinal_screening,2014-01-27
68A7.00,Read,Diabetic retinopathy screening,test,54 - Retinal_screening,2014-01-27
68A8.00,Read,Digital retinal screening,test,54 - Retinal_screening,2014-01-27
X962,OXMIS,FUNDOSCOPY,test,54 - Retinal_screening,2014-01-27
X962 AB,OXMIS,FUNDOSCOPY ABNORMAL,test,54 - Retinal_screening,2014-01-27
X962 NM,OXMIS,FUNDOSCOPY NORMAL,test,54 - Retinal_screening,2014-01-27
