code,coding_system,description,entity,list_name,upload_date
4119B,OXMIS,ISCHAEMIC HEART DISEASE SUBACUTE,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4120A,OXMIS,ISCHAEMIC HEART DISEASE HYPERTENSIVE,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4129,OXMIS,ISCHAEMIC HEART DISEASE CHRONIC,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4129AN,OXMIS,ISCHAEMIC HEART DISEASE,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4129N,OXMIS,ISCHAEMIC HEART DISEASE ASYMPTOMATIC,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4130,OXMIS,ANGINA PECTORIS WITH HYPERTENSION,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4130E,OXMIS,ANGINA EFFORT WITH HYPERTENSION,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139,OXMIS,ANGINA PECTORIS,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139AT,OXMIS,ANGINA ATYPICAL,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139C,OXMIS,CARDIAC ANGINA,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139CO,OXMIS,ANGINA CRESCENDO,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139E,OXMIS,ANGINA EFFORT,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139M,OXMIS,SYNDROME ANGINAL,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139N,OXMIS,ANGINA,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139PA,OXMIS,ANGINA INVERSA,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4139U,OXMIS,UNSTABLE ANGINA,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
4149,OXMIS,ASYMPTOMATIC ISCHAEMIC HEART DISEASE,diagnostic,46 - Coronary_Heart_Disease,2014-01-27
