code,coding_system,description,entity,list_name,upload_date
647Q.00,Read,Child weight > 99.6th centile,observation,49 - Body_mass_index,2014-01-27
647Z.00,Read,Child weight centiles NOS,observation,49 - Body_mass_index,2014-01-27
Q111.00,Read,Premature - weight 1000g-2499g or gestation of 28-37weeks,observation,49 - Body_mass_index,2014-01-27
Q114.00,Read,Low birthweight,observation,49 - Body_mass_index,2014-01-27
Q114000,Read,Birth weight 1000-2499 g,observation,49 - Body_mass_index,2014-01-27
Q115.00,Read,Extremely low birth weight infant,observation,49 - Body_mass_index,2014-01-27
Q115000,Read,Birth weight 999 g or less,observation,49 - Body_mass_index,2014-01-27
Q120.00,Read,Very large baby - weight greater than 4500gm,observation,49 - Body_mass_index,2014-01-27
L3333NA,OXMIS,WEIGHT ABNORMAL RANGE RECORDED,observation,49 - Body_mass_index,2014-01-27
L3333NN,OXMIS,WEIGHT NORMAL RANGE RECORDED,observation,49 - Body_mass_index,2014-01-27
T3324PW,OXMIS,PERCENTILE WEIGHT,observation,49 - Body_mass_index,2014-01-27
T3324WC,OXMIS,WEIGHT CHECK,observation,49 - Body_mass_index,2014-01-27
T3326BA,OXMIS,PERCENTILE WEIGHT OUTSIDE 5% RANGE,observation,49 - Body_mass_index,2014-01-27
T3326BC,OXMIS,PERCENTILE WEIGHT WITHIN 10% RANGE,observation,49 - Body_mass_index,2014-01-27
Y060 AY,OXMIS,SCREENING WEIGHT,observation,49 - Body_mass_index,2014-01-27
Y060 CY,OXMIS,SCREENING WEIGHT ABNORMAL,observation,49 - Body_mass_index,2014-01-27
